actual,proposed
-0.1999959945678711,-0.2440081536769867
-0.19796237349510193,-0.2209852635860443
-0.19525088369846344,-0.20811808109283447
-0.19321726262569427,-0.20066766440868378
-0.18482241034507751,-0.19274504482746124
-0.18221034109592438,-0.1874776929616928
-0.18025128543376923,-0.18386448919773102
-0.17829221487045288,-0.18107835948467255
-0.17502710223197937,-0.17805272340774536
-0.14439891278743744,-0.161225825548172
-0.14330504834651947,-0.15226542949676514
-0.14057038724422455,-0.14641791582107544
-0.13947650790214539,-0.1429472118616104
-0.13783571124076843,-0.14039145410060883
-0.1481766253709793,-0.14428403973579407
-0.14698652923107147,-0.14563527703285217
-0.14639148116111755,-0.14601337909698486
-0.14579643309116364,-0.14590491354465485
-0.1446063369512558,-0.14525562524795532
-0.13512052595615387,-0.1401880830526352
-0.13456450402736664,-0.13737629354000092
-0.13456450402736664,-0.13597039878368378
-0.13512052595615387,-0.13554546236991882
-0.1356765478849411,-0.13561101257801056
-0.1373445987701416,-0.13647779822349548
-0.1592152863740921,-0.1478465497493744
-0.16178306937217712,-0.15481480956077576
-0.16627667844295502,-0.16228780150413513
-0.1694863736629486,-0.16588708758354187
-0.17415045201778412,-0.1700187623500824
-0.17738714814186096,-0.17370295524597168
-0.18127115070819855,-0.17748704552650452
-0.18580244481563568,-0.1816447526216507
-0.19033372402191162,-0.18598923087120056
-0.22304661571979523,-0.2045179158449173
-0.23199686408042908,-0.21825739741325378
-0.2387094646692276,-0.2284834235906601
-0.24616777896881104,-0.23732560873031616
-0.25288015604019165,-0.2451028823852539
-0.2375815212726593,-0.2413422018289566
-0.2465582638978958,-0.2439502328634262
-0.25208231806755066,-0.24801626801490784
-0.25829681754112244,-0.25315654277801514
-0.26451119780540466,-0.2588338553905487
-0.26796358823776245,-0.2633987367153168
-0.2915705740451813,-0.277484655380249
-0.29811280965805054,-0.2877987325191498
-0.30392804741859436,-0.29586338996887207
-0.30974313616752625,-0.30280324816703796
-0.31483128666877747,-0.3088172674179077
-0.30518847703933716,-0.30700287222862244
-0.3100423514842987,-0.30852261185646057
