actual,proposed
0.30000463128089905,0.2696542739868164
0.3015044629573822,0.27088335156440735
0.30300432443618774,0.27210649847984314
0.3045041859149933,0.2733348309993744
0.30600404739379883,0.27456021308898926
0.30750390887260437,0.27578869462013245
0.3090038001537323,0.2770126760005951
0.15238399803638458,0.23564599454402924
0.15276455879211426,0.23336832225322723
0.15529286861419678,0.23186498880386353
0.15776026248931885,0.2304704487323761
0.1601690798997879,0.22931119799613953
0.15519747138023376,0.22624965012073517
0.1531791090965271,0.22460617125034332
0.1467219442129135,0.2226799726486206
0.13588865101337433,0.21996314823627472
0.12945690751075745,0.21785268187522888
0.11864502727985382,0.21497492492198944
0.10351292043924332,0.21181853115558624
0.0841178223490715,0.20751863718032837
0.06923216581344604,0.20416194200515747
0.05006934329867363,0.19985328614711761
0.026684356853365898,0.19517946243286133
0.003488851711153984,0.1901528537273407
0.0,0.1857822984457016
0.0,0.18009817600250244
0.0,0.1737959384918213
0.0,0.16730494797229767
0.0,0.16119886934757233
0.0,0.15516948699951172
0.0,0.1489977240562439
0.0,0.1425585001707077
0.0,0.13666002452373505
0.0,0.13045302033424377
0.0,0.12345784902572632
0.0,0.11807138472795486
0.0,0.11213675886392593
0.0,0.10567821562290192
0.0,0.10005656629800797
0.0,0.09404732286930084
0.0,0.08761955797672272
0.0,0.08265601843595505
0.0,0.07693745195865631
0.0,0.07120509445667267
0.0,0.06666000932455063
0.0,0.06122424826025963
0.0,0.05644887685775757
0.0,0.05155565217137337
0.0,0.04686708003282547
0.0,0.04174016788601875
0.0,0.037652112543582916
0.0,0.03460948169231415
0.0,0.03214474394917488
0.0,0.030346039682626724
0.0,0.028147488832473755
0.0,0.025835515931248665
0.0,0.023711036890745163
0.0,0.02153630182147026
0.0,0.02023356966674328
0.0,0.018214039504528046
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.30000001192092896
0.0,0.13976846635341644
0.0,0.14156825840473175
0.00997406430542469,0.14270363748073578
0.022319070994853973,0.14342862367630005
0.043141577392816544,0.145436629652977
0.05925390496850014,0.146945521235466
0.075090691447258,0.14857441186904907
0.09938178211450577,0.1512475609779358
0.11894083023071289,0.15367791056632996
0.1294858455657959,0.15495887398719788
0.15294551849365234,0.15803880989551544
